service,kasan_key,display_name,review_bucket,proposed_action,risk_level,review_effort,recommended_initial_decision,reason_for_priority
houmon_kaigo,kinkyu_houmon,緊急時訪問介護加算,needs_master_review,needs_master_review,low,15min,add_receipt_alias,公式 114000 と社内 116500 の単位 (100) が一致・alias 登録で PDF 検出を保ちつつ公式照合を充足できる
houmon_kaigo,koukuu_renkei_kyouka,口腔連携強化加算,needs_master_review,needs_master_review,low,15min,add_receipt_alias,公式 116192 と社内 116600 の単位 (50) が一致・alias 登録で PDF 検出を保ちつつ公式照合を充足できる
kyotaku_shien,kinkyu_kyotaku_conference,緊急時等居宅カンファレンス加算,needs_master_review,needs_master_review,low,15min,add_receipt_alias,公式 436133 と社内 438500 の単位 (200) が一致・alias 登録で PDF 検出を保ちつつ公式照合を充足できる
kyotaku_shien,nyuin_jouhou_renkei_I,入院時情報連携加算(I),needs_master_review,needs_master_review,low,15min,add_receipt_alias,公式 436125 と社内 438200 の単位 (250) が一致・alias 登録で PDF 検出を保ちつつ公式照合を充足できる
tsusho_kaigo,chujudosha_care_taisei,中重度者ケア体制加算,needs_master_review,needs_master_review,low,15min,add_receipt_alias,公式 155306 と社内 156271 の単位 (45) が一致・alias 登録で PDF 検出を保ちつつ公式照合を充足できる
tsusho_kaigo,eiyou_kaizen,栄養改善加算,needs_master_review,needs_master_review,low,15min,add_receipt_alias,公式 155605 と社内 156112 の単位 (200) が一致・alias 登録で PDF 検出を保ちつつ公式照合を充足できる
tsusho_kaigo,koukuu_kinou_I,口腔機能向上加算Ⅰ,needs_master_review,needs_master_review,low,15min,add_receipt_alias,公式 155606 と社内 155501 の単位 (150) が一致・alias 登録で PDF 検出を保ちつつ公式照合を充足できる
tsusho_kaigo,nyuyoku_II,入浴介助加算Ⅱ,needs_master_review,needs_master_review,low,15min,add_receipt_alias,公式 155303 と社内 155302 の単位 (55) が一致・alias 登録で PDF 検出を保ちつつ公式照合を充足できる

# alpha.5.13 FIRST_REVIEW_BATCH generated at 2026-05-10
# base_commit: 228897a415aa8b2ff9a0d0a0b96723901a995266 (alpha.5.12 kimura cio handoff)
# 初回バッチ件数: 8 / 上限: 10 件
# 本バッチは low/medium risk の needs_master_review のみ。
# needs_legal_review / future_candidate_only / divergent / 高リスクは含まない。
# 各 reviewer は recommended_initial_decision を確認し、最終判断は alpha.5.12 workbook に入力。
