service,kasan_key,kasan_display_name,current_overall_mapping_status,proposed_action,official_service_code,official_name,official_unit,official_calc_unit,official_source_id,official_page_or_section,receipt_detection_code,receipt_detection_name,receipt_detection_pattern,receipt_detection_status,internal_legacy_code,internal_legacy_name,internal_legacy_unit,mismatch_type,mismatch_summary,current_risk,proposed_review_question,recommended_next_step,reviewer_decision,reviewer_name,reviewed_at,review_note
houmon_kango_kaigo,kagakuteki_kaigo_suishin_kasan,科学的介護推進体制加算,needs_review,needs_master_review,,科学的介護推進体制加算,,月/利用者,WAM_R7_8_DEFINITIVE_2025_03_28,訪問介護 p1-107 / 訪問看護 p109-129 / 通所介護 p130-144 / 居宅介護支援 p318-332 (R7.4と同一構造),136900,科学的介護推進体制加算,LIFE,legacy_detection_only,136900,科学的介護推進体制加算,40,not_found_in_definitive_source,match_type=not_found_in_definitive_source / official_code=(none) / internal_code=136900 / internal_unit=40,社内legacyコードでPDF検出は機能しているが、公式コードとの対応関係が未確定 / 帳票検出は legacy_code 経路のみ,加算「科学的介護推進体制加算」: 社内コード 136900 は稼働中だが、確定版PDFに対応する公式コードが見つかりません（match_type=not_found_in_definitive_source）。 公式コードが本当に未登録か、別表に移動した可能性、R8.6.1で新規公式コード追加見込みかを業務担当・開発担当で確認してください。,candidate: keep_legacy_detection_only OR defer_until_r8_definitive (reviewer判断),,,,
tsusho_kaigo,chujudosha_care_taisei,中重度者ケア体制加算,needs_review,needs_master_review,155306,中重度者ケア体制加算,45,日/算定対象者全員,WAM_R7_4_DEFINITIVE_2025_03_28,訪問介護 p1-107 / 訪問看護 p109-129 / 通所介護 p130-144 / 居宅介護支援 p318-332,156271,中重度者ケア体制加算,中重度加算,legacy_detection_only,156271,中重度者ケア体制加算,45,code_mismatch,match_type=code_mismatch / official_code=155306 / internal_code=156271 / official_unit=45 / internal_unit=45,社内legacyコードでPDF検出は機能しているが、公式コードとの対応関係が未確定 / 帳票検出は legacy_code 経路のみ,加算「中重度者ケア体制加算」: 公式コード 155306 に対し社内コード 156271 が稼働中（match_type=code_mismatch）。 社内マスタを公式コードに訂正するか、社内コードを公式コードのaliasとして登録するか、 それとも legacy_detection_only のまま運用継続か、業務担当・開発担当で確認してください。,candidate: correct_internal_legacy_code OR add_receipt_alias (reviewer判断),,,,
tsusho_kaigo,nyuyoku_II,入浴介助加算Ⅱ,needs_review,needs_master_review,155303,入浴介助加算（Ⅱ）,55,,WAM_R7_4_DEFINITIVE_2025_03_28,訪問介護 p1-107 / 訪問看護 p109-129 / 通所介護 p130-144 / 居宅介護支援 p318-332,155302,入浴介助加算Ⅱ,入浴Ⅱ,legacy_detection_only,155302,入浴介助加算Ⅱ,55,code_mismatch,match_type=code_mismatch / official_code=155303 / internal_code=155302 / official_unit=55 / internal_unit=55,社内legacyコードでPDF検出は機能しているが、公式コードとの対応関係が未確定 / 帳票検出は legacy_code 経路のみ,加算「入浴介助加算Ⅱ」: 公式コード 155303 に対し社内コード 155302 が稼働中（match_type=code_mismatch）。 社内マスタを公式コードに訂正するか、社内コードを公式コードのaliasとして登録するか、 それとも legacy_detection_only のまま運用継続か、業務担当・開発担当で確認してください。,candidate: correct_internal_legacy_code OR add_receipt_alias (reviewer判断),,,,
tsusho_kaigo,koukuu_kinou_I,口腔機能向上加算Ⅰ,needs_review,needs_master_review,155606,口腔機能向上加算（Ⅰ）,150,,WAM_R7_4_DEFINITIVE_2025_03_28,訪問介護 p1-107 / 訪問看護 p109-129 / 通所介護 p130-144 / 居宅介護支援 p318-332,155501,口腔機能向上加算Ⅰ,口腔Ⅰ,legacy_detection_only,155501,口腔機能向上加算Ⅰ,150,code_mismatch,match_type=code_mismatch / official_code=155606 / internal_code=155501 / official_unit=150 / internal_unit=150,社内legacyコードでPDF検出は機能しているが、公式コードとの対応関係が未確定 / 帳票検出は legacy_code 経路のみ,加算「口腔機能向上加算Ⅰ」: 公式コード 155606 に対し社内コード 155501 が稼働中（match_type=code_mismatch）。 社内マスタを公式コードに訂正するか、社内コードを公式コードのaliasとして登録するか、 それとも legacy_detection_only のまま運用継続か、業務担当・開発担当で確認してください。,candidate: correct_internal_legacy_code OR add_receipt_alias (reviewer判断),,,,
tsusho_kaigo,eiyou_kaizen,栄養改善加算,needs_review,needs_master_review,155605,栄養改善加算,200,,WAM_R7_4_DEFINITIVE_2025_03_28,訪問介護 p1-107 / 訪問看護 p109-129 / 通所介護 p130-144 / 居宅介護支援 p318-332,156112,栄養改善加算,栄養改善,legacy_detection_only,156112,栄養改善加算,200,code_mismatch,match_type=code_mismatch / official_code=155605 / internal_code=156112 / official_unit=200 / internal_unit=200,社内legacyコードでPDF検出は機能しているが、公式コードとの対応関係が未確定 / 帳票検出は legacy_code 経路のみ,加算「栄養改善加算」: 公式コード 155605 に対し社内コード 156112 が稼働中（match_type=code_mismatch）。 社内マスタを公式コードに訂正するか、社内コードを公式コードのaliasとして登録するか、 それとも legacy_detection_only のまま運用継続か、業務担当・開発担当で確認してください。,candidate: correct_internal_legacy_code OR add_receipt_alias (reviewer判断),,,,
houmon_kaigo,shokai_kasan,初回加算,needs_review,needs_master_review,114001,初回加算,200,月/利用者,WAM_R7_4_DEFINITIVE_2025_03_28,訪問介護 p1-107 / 訪問看護 p109-129 / 通所介護 p130-144 / 居宅介護支援 p318-332,116200,初回加算,初回,legacy_detection_only,116200,初回加算,200,code_mismatch,match_type=code_mismatch / official_code=114001 / internal_code=116200 / official_unit=200 / internal_unit=200,社内legacyコードでPDF検出は機能しているが、公式コードとの対応関係が未確定 / 帳票検出は legacy_code 経路のみ,加算「初回加算」: 公式コード 114001 に対し社内コード 116200 が稼働中（match_type=code_mismatch）。 社内マスタを公式コードに訂正するか、社内コードを公式コードのaliasとして登録するか、 それとも legacy_detection_only のまま運用継続か、業務担当・開発担当で確認してください。,candidate: correct_internal_legacy_code OR add_receipt_alias (reviewer判断),,,,
houmon_kaigo,seikatsu_kinou_renkei_I,生活機能向上連携加算(I),needs_review,needs_master_review,114003,生活機能向上連携加算（Ⅰ）,100,月/利用者,WAM_R7_4_DEFINITIVE_2025_03_28,訪問介護 p1-107 / 訪問看護 p109-129 / 通所介護 p130-144 / 居宅介護支援 p318-332,116301,生活機能向上連携加算(I),生活機能Ⅰ,legacy_detection_only,116301,生活機能向上連携加算(I),100,code_mismatch,match_type=code_mismatch / official_code=114003 / internal_code=116301 / official_unit=100 / internal_unit=100,社内legacyコードでPDF検出は機能しているが、公式コードとの対応関係が未確定 / 帳票検出は legacy_code 経路のみ,加算「生活機能向上連携加算(I)」: 公式コード 114003 に対し社内コード 116301 が稼働中（match_type=code_mismatch）。 社内マスタを公式コードに訂正するか、社内コードを公式コードのaliasとして登録するか、 それとも legacy_detection_only のまま運用継続か、業務担当・開発担当で確認してください。,candidate: correct_internal_legacy_code OR add_receipt_alias (reviewer判断),,,,
houmon_kaigo,seikatsu_kinou_renkei_II,生活機能向上連携加算(II),needs_review,needs_master_review,114002,生活機能向上連携加算（Ⅱ）,200,月/利用者,WAM_R7_4_DEFINITIVE_2025_03_28,訪問介護 p1-107 / 訪問看護 p109-129 / 通所介護 p130-144 / 居宅介護支援 p318-332,116302,生活機能向上連携加算(II),生活機能Ⅱ,legacy_detection_only,116302,生活機能向上連携加算(II),200,code_mismatch,match_type=code_mismatch / official_code=114002 / internal_code=116302 / official_unit=200 / internal_unit=200,社内legacyコードでPDF検出は機能しているが、公式コードとの対応関係が未確定 / 帳票検出は legacy_code 経路のみ,加算「生活機能向上連携加算(II)」: 公式コード 114002 に対し社内コード 116302 が稼働中（match_type=code_mismatch）。 社内マスタを公式コードに訂正するか、社内コードを公式コードのaliasとして登録するか、 それとも legacy_detection_only のまま運用継続か、業務担当・開発担当で確認してください。,candidate: correct_internal_legacy_code OR add_receipt_alias (reviewer判断),,,,
houmon_kaigo,ninchi_senmon_care_I,認知症専門ケア加算(I),needs_review,needs_master_review,114004,認知症専門ケア加算（Ⅰ）,3,日/算定対象者,WAM_R7_4_DEFINITIVE_2025_03_28,訪問介護 p1-107 / 訪問看護 p109-129 / 通所介護 p130-144 / 居宅介護支援 p318-332,116401,認知症専門ケア加算(I),認知症専門Ⅰ,legacy_detection_only,116401,認知症専門ケア加算(I),3,code_mismatch,match_type=code_mismatch / official_code=114004 / internal_code=116401 / official_unit=3 / internal_unit=3,社内legacyコードでPDF検出は機能しているが、公式コードとの対応関係が未確定 / 帳票検出は legacy_code 経路のみ,加算「認知症専門ケア加算(I)」: 公式コード 114004 に対し社内コード 116401 が稼働中（match_type=code_mismatch）。 社内マスタを公式コードに訂正するか、社内コードを公式コードのaliasとして登録するか、 それとも legacy_detection_only のまま運用継続か、業務担当・開発担当で確認してください。,candidate: correct_internal_legacy_code OR add_receipt_alias (reviewer判断),,,,
houmon_kaigo,ninchi_senmon_care_II,認知症専門ケア加算(II),needs_review,needs_master_review,114005,認知症専門ケア加算（Ⅱ）,4,日/算定対象者,WAM_R7_4_DEFINITIVE_2025_03_28,訪問介護 p1-107 / 訪問看護 p109-129 / 通所介護 p130-144 / 居宅介護支援 p318-332,116402,認知症専門ケア加算(II),認知症専門Ⅱ,legacy_detection_only,116402,認知症専門ケア加算(II),4,code_mismatch,match_type=code_mismatch / official_code=114005 / internal_code=116402 / official_unit=4 / internal_unit=4,社内legacyコードでPDF検出は機能しているが、公式コードとの対応関係が未確定 / 帳票検出は legacy_code 経路のみ,加算「認知症専門ケア加算(II)」: 公式コード 114005 に対し社内コード 116402 が稼働中（match_type=code_mismatch）。 社内マスタを公式コードに訂正するか、社内コードを公式コードのaliasとして登録するか、 それとも legacy_detection_only のまま運用継続か、業務担当・開発担当で確認してください。,candidate: correct_internal_legacy_code OR add_receipt_alias (reviewer判断),,,,
