service,kasan_key,display_name,review_bucket,proposed_action,overall_mapping_status,risk_level,review_effort,recommended_reviewer_role,recommended_initial_decision,reason_for_priority,can_be_first_batch,why_not_first_batch
houmon_kaigo,kinkyu_houmon,緊急時訪問介護加算,needs_master_review,needs_master_review,needs_review,low,15min,business_reviewer,add_receipt_alias,公式 114000 と社内 116500 の単位 (100) が一致・alias 登録で PDF 検出を保ちつつ公式照合を充足できる,yes,
houmon_kaigo,koukuu_renkei_kyouka,口腔連携強化加算,needs_master_review,needs_master_review,needs_review,low,15min,business_reviewer,add_receipt_alias,公式 116192 と社内 116600 の単位 (50) が一致・alias 登録で PDF 検出を保ちつつ公式照合を充足できる,yes,
houmon_kaigo,ninchi_senmon_care_I,認知症専門ケア加算(I),needs_master_review,needs_master_review,needs_review,low,15min,business_reviewer,add_receipt_alias,公式 114004 と社内 116401 の単位 (3) が一致・alias 登録で PDF 検出を保ちつつ公式照合を充足できる,no,per_service_cap_exceeded (houmon_kaigo の初回バッチ上限 2 件に達した・後続バッチで対応)
houmon_kaigo,ninchi_senmon_care_II,認知症専門ケア加算(II),needs_master_review,needs_master_review,needs_review,low,15min,business_reviewer,add_receipt_alias,公式 114005 と社内 116402 の単位 (4) が一致・alias 登録で PDF 検出を保ちつつ公式照合を充足できる,no,per_service_cap_exceeded (houmon_kaigo の初回バッチ上限 2 件に達した・後続バッチで対応)
houmon_kaigo,seikatsu_kinou_renkei_I,生活機能向上連携加算(I),needs_master_review,needs_master_review,needs_review,low,15min,business_reviewer,add_receipt_alias,公式 114003 と社内 116301 の単位 (100) が一致・alias 登録で PDF 検出を保ちつつ公式照合を充足できる,no,per_service_cap_exceeded (houmon_kaigo の初回バッチ上限 2 件に達した・後続バッチで対応)
houmon_kaigo,seikatsu_kinou_renkei_II,生活機能向上連携加算(II),needs_master_review,needs_master_review,needs_review,low,15min,business_reviewer,add_receipt_alias,公式 114002 と社内 116302 の単位 (200) が一致・alias 登録で PDF 検出を保ちつつ公式照合を充足できる,no,per_service_cap_exceeded (houmon_kaigo の初回バッチ上限 2 件に達した・後続バッチで対応)
houmon_kaigo,shokai_kasan,初回加算,needs_master_review,needs_master_review,needs_review,low,15min,business_reviewer,add_receipt_alias,公式 114001 と社内 116200 の単位 (200) が一致・alias 登録で PDF 検出を保ちつつ公式照合を充足できる,no,per_service_cap_exceeded (houmon_kaigo の初回バッチ上限 2 件に達した・後続バッチで対応)
houmon_kango_kaigo,kagakuteki_kaigo_suishin_kasan,科学的介護推進体制加算,needs_master_review,needs_master_review,needs_review,medium,15min,business_reviewer,keep_legacy_detection_only,社内コード 136900 は稼働中だが公式コード not_found・R8.6.1 で新規追加見込みかを業務担当が判断,no,公式 not_found のため R8.6.1 待ちまたは legacy 維持判断
kyotaku_shien,kinkyu_kyotaku_conference,緊急時等居宅カンファレンス加算,needs_master_review,needs_master_review,needs_review,low,15min,business_reviewer,add_receipt_alias,公式 436133 と社内 438500 の単位 (200) が一致・alias 登録で PDF 検出を保ちつつ公式照合を充足できる,yes,
kyotaku_shien,nyuin_jouhou_renkei_I,入院時情報連携加算(I),needs_master_review,needs_master_review,needs_review,low,15min,business_reviewer,add_receipt_alias,公式 436125 と社内 438200 の単位 (250) が一致・alias 登録で PDF 検出を保ちつつ公式照合を充足できる,yes,
