service,kasan_key,reviewer_decision,implementation_allowed,blocked_reason,missing_fields,recommended_fix
tsusho_kaigo,koukuu_kinou_I,DEFINITELY_INVALID_DECISION,yes,invalid_reviewer_decision,,reviewer_decision を valid な値に修正（manifest の reviewer_decision_values 参照）
tsusho_kaigo,eiyou_kaizen,approve_official_code_addition,yes,missing_required_fields_when_implementation_allowed_yes,required_evidence,missing_fields の項目を埋める: required_evidence
houmon_kaigo,shokai_kasan,correct_internal_legacy_code,yes,high_risk_decision_requires_implementation_risk_acknowledged_yes,implementation_risk_acknowledged,高リスク decision (correct_internal_legacy_code) は implementation_risk_acknowledged=yes が必須。reviewer がリスク確認 (PDF検出回帰テスト等) を完了してから付与
houmon_kaigo,shougu_kaizen_kasan,approve_official_code_addition,yes,future_candidate_only_must_be_defer_until_r8_definitive,,future_candidate_only kasan は R8.6.1 確定版が出るまで defer_until_r8_definitive のみ受理

# alpha.5.10 reviewer decision gate generated at 2026-05-10
# base_commit: d0c911db9b28f561f0e40859a4c40e863982d7f6 (alpha.5.9)
# input: out/internal/alpha5_12_reviewer_workflow_hardening/sample_reviewed_decisions.csv
# 本ゲートは master JSON を改変しない。承認候補 (approved_changes_preview) はあくまで実装候補。
# blocked_reason に従い recommended_fix を業務担当が実施し、再ゲート実行する。
